ID	ID1	ID2	chr1	start1	stop1	direction1	chr2	start2	stop2	direction2	synteny_dir	org2
40	hg38.chr5:117967464-118316415	rn5.chr18:43292488-43669192	5	117967464	118316415	+	18	43292488	43669192	+	NA	rn5
40	hg38.chr5:118316466-118807946	rn5.chr18:42807927-43287670	5	118316466	118807946	+	18	42807927	43287670	+	2+1+	rn5
41	hg38.chr5:174334416-174746556	rn5.chr17:13500815-13803071	5	174334416	174746556	+	17	13500815	13803071	+	NA	rn5
41	hg38.chr5:175001821-175324397	rn5.chr17:13355798-13499493	5	175001821	175324397	+	17	13355798	13499493	+	2+1+	rn5
32	hg38.chr6:8357760-8612338	danRer10.chr24:8324608-8397795	6	8357760	8612338	+	24	8324608	8397795	+	NA	danRer10
32	hg38.chr6:9403501-9707837	danRer10.chr24:8032627-8169463	6	9403501	9707837	+	24	8032627	8169463	+	2+1+	danRer10
9	hg38.chr7:67317045-72844768	rheMac3.chr3:52936765-58599132	7	67317045	72844768	+	3	52936765	58599132	+	2-1+	rheMac3
9	hg38.chr7:73293131-74869947	rheMac3.chr3:51168019-52769921	7	73293131	74869947	+	3	51168019	52769921	+	2+1+	rheMac3
14	hg38.chr7:7866231-9151103	bosTau8.chr4:16923372-18404382	7	7866231	9151103	+	4	16923372	18404382	+	NA	bosTau8
14	hg38.chr7:9156107-10281306	bosTau8.chr4:15866145-16920564	7	9156107	10281306	+	4	15866145	16920564	+	2+1+	bosTau8
15	hg38.chr7:11783783-12175530	bosTau8.chr4:21006423-21388208	7	11783783	12175530	+	4	21006423	21388208	+	NA	bosTau8
15	hg38.chr7:12185405-13294483	bosTau8.chr4:19846662-20981673	7	12185405	13294483	+	4	19846662	20981673	+	2+1+	bosTau8
42	hg38.chr7:123791066-124719699	rn5.chr4:51861675-52783207	7	123791066	124719699	+	4	51861675	52783207	+	NA	rn5
42	hg38.chr7:124721701-125082009	rn5.chr4:51584035-51835713	7	124721701	125082009	+	4	51584035	51835713	+	2+1+	rn5
44	hg38.chr8:38104783-42553616	rn5.chr16:70675293-74055889	8	38104783	42553616	+	16	70675293	74055889	+	NA	rn5
44	hg38.chr8:42835444-43201036	rn5.chr16:70321480-70573352	8	42835444	43201036	+	16	70321480	70573352	+	2+1+	rn5
45	hg38.chr8:139428182-140102459	rn5.chr7:113684473-114148567	8	139428182	140102459	+	7	113684473	114148567	+	NA	rn5
45	hg38.chr8:140105885-140291094	rn5.chr7:113527126-113662522	8	140105885	140291094	+	7	113527126	113662522	+	2+1+	rn5
2	hg38.chr9:133331496-135504240	mm10.chr2:26891872-28470104	9	133331496	135504240	+	2	26891872	28470104	+	2-1+	mm10
2	hg38.chr9:135607497-136726891	mm10.chr2:25776526-26639333	9	135607497	136726891	+	2	25776526	26639333	+	2+1+	mm10
17	hg38.chr9:92209678-94303655	bosTau8.chr8:85268212-86976964	9	92209678	94303655	+	8	85268212	86976964	+	2-1+	bosTau8
17	hg38.chr9:94557407-97072790	bosTau8.chr8:82395010-84999272	9	94557407	97072790	+	8	82395010	84999272	+	2+1+	bosTau8
33	hg38.chr9:130693791-130885686	danRer10.chr5:71352890-71384235	9	130693791	130885686	+	5	71352890	71384235	+	NA	danRer10
33	hg38.chr9:131127520-131308277	danRer10.chr5:71102326-71218460	9	131127520	131308277	+	5	71102326	71218460	+	2+1+	danRer10
46	hg38.chr9:9981654-10168799	rn5.chr5:99097571-99274316	9	9981654	10168799	+	5	99097571	99274316	+	NA	rn5
46	hg38.chr9:10175688-10497988	rn5.chr5:98736730-99086276	9	10175688	10497988	+	5	98736730	99086276	+	2+1+	rn5
47	hg38.chr9:92209999-93700583	rn5.chr17:17414155-18354751	9	92209999	93700583	+	17	17414155	18354751	+	NA	rn5
47	hg38.chr9:93724411-93963216	rn5.chr17:16778872-16886251	9	93724411	93963216	+	17	16778872	16886251	+	2+1+	rn5
48	hg38.chr9:133331867-135504204	rn5.chr3:10804236-12406197	9	133331867	135504204	+	3	10804236	12406197	+	2-1+	rn5
48	hg38.chr9:135606718-136726885	rn5.chr3:8597302-9453404	9	135606718	136726885	+	3	8597302	9453404	+	2+1+	rn5
16	hg38.chrX:112470473-112864933	bosTau8.chrX:68311174-68700801	X	112470473	112864933	+	X	68311174	68700801	+	NA	bosTau8
16	hg38.chrX:112865177-114982796	bosTau8.chrX:66174169-68116883	X	112865177	114982796	+	X	66174169	68116883	+	2+1+	bosTau8
43	hg38.chrX:37559017-37848466	rn5.chrX:15122232-15424846	X	37559017	37848466	+	X	15122232	15424846	+	NA	rn5
43	hg38.chrX:37859547-38333908	rn5.chrX:14460659-15117856	X	37859547	38333908	+	X	14460659	15117856	+	2+1+	rn5
62	hg38.chrX:75227703-81364171	monDom5.chrX:55441969-58866135	X	75227703	81364171	+	X	55441969	58866135	+	NA	monDom5
62	hg38.chrX:81403592-87535170	monDom5.chrX:51070755-55403089	X	81403592	87535170	+	X	51070755	55403089	+	2+1+	monDom5
