Chrom	Start	End	Chrom_org2	Start_org2	End_org2	Direction	Size_Human_mb	Size_org2_mb	Assembly	Breakpoint_start_human	Breakpoint_end_human	Breakpoint_size_human_kb	Breakpoint_start_org2	Breakpoint_end_org2	Breakpoint_size_org2_kb	Group
15	82536247	85156532	18	21373787	23508854	+	2.62	2.14	oviAri3	84150500	84598039	447.54	21914801	21944205	29.4	Ovis aries
15	82536713	85140156	7	80856746	82721698	+	2.6	1.86	mm10	84150501	84598720	448.22	81335031	81342692	7.66	Mus Musculus
15	82536713	85139163	1	143627838	145601700	+	2.6	1.97	rn5	84150500	84598761	448.26	144102770	144109644	6.87	Rattus norvegicus
15	82640627	85140008	3	53863969	55788027	+	2.5	1.92	canFam3	84150496	84599820	449.32	54367990	54492846	124.86	Canis lupus familiaris
15	82754554	85156140	1	112114494	115009678	+	2.4	2.9	monDom5	84150285	84599886	449.6	112904379	112936366	31.99	Monodelphis domestica
16	16571940	19380787	6	25848160	27758425	+	2.81	1.91	canFam3	18436361	18975430	539.07	26145690	26330985	185.29	Canis lupus familiaris
16	16572050	19382534	25	14619747	17110030	-	2.81	2.49	bosTau8	18595446	18971328	375.88	16529637	16713880	184.24	Bos taurus
16	16572050	19382534	24	14562507	16945676	-	2.81	2.38	oviAri3	18436355	18971350	535	16385138	16565242	180.1	Ovis aries
16	16587732	19354659	7	116609719	118572063	-	2.77	1.96	mm10	18231333	19001011	769.68	118107853	118312495	204.64	Mus Musculus
16	16587846	19354654	1	193159522	195177918	-	2.77	2.02	rn5	18224938	19000879	775.94	194712753	194905741	192.99	Rattus norvegicus
16	21558796	22419474	20	20413227	21132166	+	0.86	0.72	rheMac3	21797508	21937584	140.08	20897060	20897063	0	Macaca mulatta
16	21560262	22407478	6	61168643	61942197	+	0.85	0.77	monDom5	21757314	21946844	189.53	61735038	61739600	4.56	Monodelphis domestica
16	22499921	30246262	16	23003482	29844149	+	7.75	6.84	panTro6	28363907	29713564	1349.66	23538262	23966997	428.74	Pan troglodytes
16	23824001	25228742	6	143277540	145440742	+	1.4	2.16	monDom5	24826280	24858637	32.36	143693997	143835236	141.24	Monodelphis domestica
16	46800583	51806614	19	30042673	34430530	-	5.01	4.39	rn5	51093932	51096652	2.72	33746269	33778774	32.51	Rattus norvegicus
16	55899451	59434715	19	9017664	23451784	-	3.54	14.43	rn5	59272586	59275159	2.57	11889926	23230018	11340.09	Rattus norvegicus
16	70080002	73009728	19	51685133	54270715	+	2.93	2.59	rn5	70584708	70609698	24.99	53790773	53850711	59.94	Rattus norvegicus
16	70609698	73483451	19	51241502	53790773	+	2.87	2.55	rn5	73009728	73010063	0.34	51674154	51685133	10.98	Rattus norvegicus
16	85040965	87424066	19	63520215	65151201	+	2.38	1.63	rn5	86132038	86142186	10.15	64394403	64432229	37.83	Rattus norvegicus
17	15756347	18077264	17	32242641	34999330	-	2.32	2.76	panTro6	16682099	16682099	0	33155711	33705737	550.03	Pan troglodytes
17	15828218	20319299	5	39286055	42485029	-	4.49	3.2	canFam3	16654118	16936877	282.76	40033878	39936576	0	Canis lupus familiaris
17	15828258	20319395	19	33771195	35724538	-	4.49	1.95	bosTau8	16504210	16936401	432.19	34185058	34121212	0	Bos taurus
17	15829037	20319395	11	32648366	34660228	-	4.49	2.01	oviAri3	16654114	16937085	282.97	33138294	33077327	0	Ovis aries
17	30730967	32001252	16	26958959	28245086	+	1.27	1.29	rheMac3	31005825	31051203	45.38	27974982	27905893	0	Macaca mulatta
17	30731224	32001252	19	18326141	19273073	-	1.27	0.95	bosTau8	31005355	31051412	46.06	18546105	18505588	0	Bos taurus
17	30731225	32001396	9	40790808	41790169	-	1.27	1	canFam3	31005339	31051413	46.07	41039615	40992422	0	Canis lupus familiaris
17	30731229	32001253	11	17612150	18530057	-	1.27	0.92	oviAri3	31005344	31052070	46.73	17823344	17783409	0	Ovis aries
17	30731358	32001213	11	79305714	80199866	+	1.27	0.89	mm10	31000016	31051534	51.52	80034277	79992798	0	Mus Musculus
17	30731394	32001111	2	503687148	504885518	-	1.27	1.2	monDom5	30971531	31067548	96.02	503909940	503869898	0	Monodelphis domestica
17	60578937	61047969	10	72640446	72913998	+	0.47	0.27	rn5	60790620	60824068	33.45	72765550	72782255	16.7	Rattus norvegicus
17	67337830	83229996	19	49486668	62534920	-	15.89	13.05	bosTau8	68113236	68223141	109.9	50136776	50146445	9.67	Bos taurus
17	67337830	83205569	11	48252853	60806961	-	15.87	12.55	oviAri3	68113236	68223141	109.9	48901393	48916678	15.29	Ovis aries
18	55225716	57573399	21	1197705	1773204	-	2.35	0.58	danRer10	55423876	57352859	1928.98	1403097	1626046	222.95	Danio rerio
19	16066508	17688469	8	71272109	72763463	+	1.62	1.49	mm10	16890743	17075220	184.48	71671848	72129401	457.55	Mus Musculus
19	18068382	19546141	3	449328640	452688837	+	1.48	3.36	monDom5	19153442	19180592	27.15	450069704	450761685	691.98	Monodelphis domestica
19	22562149	24206536	19	22875466	25054109	+	1.64	2.18	panTro6	23094707	23145809	51.1	23952571	24582462	629.89	Pan troglodytes
19	41173331	42422014	14	49596042	50569719	-	1.25	0.97	oviAri3	41440011	41746881	306.87	49798822	49934383	135.56	Ovis aries
2	9214593	10404519	12	17557436	24718062	+	1.19	7.16	mm10	10144790	10162882	18.09	17772828	21117742	3344.91	Mus Musculus
2	12033938	16920422	6	46955428	51391465	-	4.89	4.44	rn5	15894640	15895617	0.98	50394505	50437449	42.94	Rattus norvegicus
2	16920506	19886821	6	43991285	46902352	-	2.97	2.91	rn5	17432536	17510091	77.56	44509166	44539876	30.71	Rattus norvegicus
2	43571700	45587395	13	8518664	10835788	-	2.02	2.32	danRer10	43762409	43813122	50.71	8569701	9570917	1001.22	Danio rerio
2	145054296	148858690	3	35894718	40243389	+	3.8	4.35	rn5	146083899	146097006	13.11	38943013	38979988	36.98	Rattus norvegicus
2	156814001	157899301	2	38537267	39524824	-	1.09	0.99	bosTau8	157602652	157619805	17.15	39191346	39206818	15.47	Bos taurus
2	170929631	171332990	3	63593923	63891194	+	0.4	0.3	rn5	171132048	171145749	13.7	63753438	63753522	0.08	Rattus norvegicus
2	189441486	191073196	9	41137097	41704026	-	1.63	0.57	danRer10	190063204	190436025	372.82	41352007	41377442	25.43	Danio rerio
2	219722067	228360489	9	82599017	90475344	+	8.64	7.88	rn5	221131720	221132415	0.7	89063941	89079763	15.82	Rattus norvegicus
20	21516221	22584879	17	42230501	42841961	+	1.07	0.61	danRer10	21709446	22402351	692.9	42293203	42779459	486.26	Danio rerio
20	29314203	29822764	20	27643739	28260291	+	0.51	0.62	panTro6	29469331	29474410	5.08	28143738	28072154	0	Pan troglodytes
20	29474410	30661541	20	27173590	28143738	+	1.19	0.97	panTro6	29822764	30467985	645.22	27367504	27643739	276.24	Pan troglodytes
20	35767857	39714644	3	158123334	161626550	-	3.95	3.5	rn5	37405830	37412500	6.67	159427241	159609231	181.99	Rattus norvegicus
21	31118379	36146529	4	10623873	16291428	-	5.03	5.67	monDom5	31736150	31872952	136.8	11126401	11163913	37.51	Monodelphis domestica
21	43337401	44786138	1	145648081	146882899	+	1.45	1.23	bosTau8	44167696	44180263	12.57	146129217	146138108	8.89	Bos taurus
21	44180263	45328343	1	145018447	146129217	+	1.15	1.11	bosTau8	44786138	44786244	0.11	145642262	145648081	5.82	Bos taurus
22	18913392	21002816	17	74194544	75135451	+	2.09	0.94	bosTau8	20282506	20702060	419.55	74335940	74439030	103.09	Bos taurus
22	19375577	21032210	17	71443185	72285004	+	1.66	0.84	oviAri3	20281321	20701981	420.66	71623763	71837269	213.51	Ovis aries
22	20393120	20920160	11	90577395	91032265	-	0.53	0.45	rn5	20627033	20702061	75.03	90800295	90865132	64.84	Rattus norvegicus
22	20696314	21975728	3	510534915	511317196	-	1.28	0.78	monDom5	21013277	21760299	747.02	510865545	511138474	272.93	Monodelphis domestica
22	48993116	50750139	5	119768077	121189491	+	1.76	1.42	bosTau8	50199633	50199747	0.11	120231917	120295380	63.46	Bos taurus
3	11826749	15099043	19	56201313	58694604	-	3.27	2.49	oviAri3	12842116	12920628	78.51	56989546	57013731	24.18	Ovis aries
3	11938414	15099488	22	56901858	59563031	-	3.16	2.66	bosTau8	12856268	12893132	36.86	57783527	57835857	52.33	Bos taurus
3	13156807	14649205	4	187301910	188332491	-	1.49	1.03	rn5	14289480	14297851	8.37	188041721	188051127	9.41	Rattus norvegicus
3	41915598	44161991	22	14389309	16142153	+	2.25	1.75	bosTau8	43605540	43605540	0	14969621	14976366	6.74	Bos taurus
3	60844639	63714716	15	16771870	19674796	-	2.87	2.9	rn5	62451995	62459587	7.59	18425055	18428919	3.86	Rattus norvegicus
3	75933288	85794420	11	8126614	17429654	-	9.86	9.3	rn5	84671297	84680127	8.83	16284304	16291836	7.53	Rattus norvegicus
3	157918558	160537104	15	1527032	2434164	+	2.62	0.91	danRer10	158537303	160225751	1688.45	1652680	2132673	479.99	Danio rerio
3	158778819	193579656	34	12524239	42085721	+	34.8	29.56	canFam3	178996600	179013917	17.32	25034851	25035539	0.69	Canis lupus familiaris
4	6640533	17530513	6	104534146	114384175	+	10.89	9.85	oviAri3	8796803	9763200	966.4	112265719	112533549	267.83	Ovis aries
4	6691044	17532394	6	109871022	119457834	+	10.84	9.59	bosTau8	8371572	9844633	1473.06	117769009	118009839	240.83	Bos taurus
4	88378910	98146456	5	23255745	31619514	-	9.77	8.36	monDom5	89323324	91059152	1735.83	23824364	23940916	116.55	Monodelphis domestica
4	121874457	162486501	17	1885778	44906446	-	40.61	43.02	bosTau8	155406088	155439493	33.41	36620637	36627635	7	Bos taurus
4	121887276	162486455	17	1696724	43570209	-	40.6	41.87	oviAri3	155406237	155439498	33.26	35491242	35513181	21.94	Ovis aries
5	35503648	37160100	2	77365768	79522194	-	1.66	2.16	rn5	36489361	36491566	2.2	78362794	78930576	567.78	Rattus norvegicus
5	44628129	51751001	2	66742599	69849193	-	7.12	3.11	rn5	51480538	51481223	0.69	69564631	69578745	14.11	Rattus norvegicus
5	81068026	95603495	5	45824269	50971044	+	14.54	5.15	danRer10	81268996	83490075	2221.08	50263721	50866131	602.41	Danio rerio
5	103752345	106727104	9	106063483	108897063	-	2.97	2.83	rn5	104354209	104400425	46.22	106625400	106772781	147.38	Rattus norvegicus
5	117967464	118807946	18	42807927	43669192	+	0.84	0.86	rn5	118316415	118316466	0.05	43287670	43292488	4.82	Rattus norvegicus
5	119655329	120367565	18	44284911	45061186	-	0.71	0.78	rn5	119833902	119866291	32.39	44491503	44495668	4.16	Rattus norvegicus
5	119655808	120367588	18	50312038	51018403	-	0.71	0.71	mm10	119833925	119866827	32.9	50473761	50478340	4.58	Mus Musculus
5	134895576	135716171	17	10827022	11523296	-	0.82	0.7	rn5	135281224	135303168	21.94	11149607	11153038	3.43	Rattus norvegicus
5	149004727	159203617	14	33644511	34967391	-	10.2	1.32	danRer10	157393005	158531761	1138.76	34457467	34631239	173.77	Danio rerio
5	174334416	175324397	17	13355798	13803071	+	0.99	0.45	rn5	174746556	175001821	255.26	13499493	13500815	1.32	Rattus norvegicus
6	8357760	9707837	24	8032627	8397795	+	1.35	0.37	danRer10	8612338	9403501	791.16	8169463	8324608	155.15	Danio rerio
6	10514814	12653655	17	23310646	25160340	-	2.14	1.85	rn5	11145659	11160685	15.03	23734539	23741259	6.72	Rattus norvegicus
6	166408244	167973161	1	54311952	55188713	-	1.56	0.88	rn5	167138622	167677058	538.44	54748788	54954548	205.76	Rattus norvegicus
7	7866231	10281306	4	15866145	18404382	+	2.42	2.54	bosTau8	9151103	9156107	5	16920564	16923372	2.81	Bos taurus
7	11783783	13294483	4	19846662	21388208	+	1.51	1.54	bosTau8	12175530	12185405	9.88	20981673	21006423	24.75	Bos taurus
7	65731113	72838846	2	507792405	513623723	-	7.11	5.83	monDom5	66958598	67403905	445.31	508416294	508559243	142.95	Monodelphis domestica
7	67317045	74869947	3	51168019	58599132	+	7.55	7.43	rheMac3	72844768	73293131	448.36	52769921	52936765	166.84	Macaca mulatta
7	67339310	74866461	6	1243967	6908787	-	7.53	5.66	canFam3	72842659	73292822	450.16	5480706	5635860	155.15	Canis lupus familiaris
7	67343046	74869181	25	28630337	34347568	-	7.53	5.72	bosTau8	72839003	73292808	453.8	33073172	33204522	131.35	Bos taurus
7	67343046	74851818	24	28277481	33761171	-	7.51	5.48	oviAri3	72839003	73292372	453.37	32481449	32619504	138.06	Ovis aries
7	67379893	74825171	5	130364387	135385118	-	7.45	5.02	mm10	72476705	73293287	816.58	134061336	134194746	133.41	Mus Musculus
7	78896903	79975153	4	41422088	42551544	-	1.08	1.13	bosTau8	79420210	79420523	0.31	41929151	41949097	19.95	Bos taurus
7	109880526	110651818	14	49864161	50479892	-	0.77	0.62	canFam3	110224767	110269572	44.8	50101236	50127523	26.29	Canis lupus familiaris
7	112030460	113002242	4	55728437	56601885	-	0.97	0.87	bosTau8	112641116	112655199	14.08	56302273	56303461	1.19	Bos taurus
7	123791066	125082009	4	51584035	52783207	+	1.29	1.2	rn5	124719699	124721701	2	51835713	51861675	25.96	Rattus norvegicus
8	7055808	12100747	8	7929894	12430857	-	5.04	4.5	rheMac3	7542784	8242362	699.58	8176507	8681080	504.57	Macaca mulatta
8	38104768	43201886	8	22462514	26164209	-	5.1	3.7	mm10	42553636	42836606	282.97	25841551	25942408	100.86	Mus Musculus
8	38104783	43201036	16	70321480	74055889	+	5.1	3.73	rn5	42553616	42835444	281.83	70573352	70675293	101.94	Rattus norvegicus
8	139428182	140291094	7	113527126	114148567	+	0.86	0.62	rn5	140102459	140105885	3.43	113662522	113684473	21.95	Rattus norvegicus
9	9981654	10497988	5	98736730	99274316	+	0.52	0.54	rn5	10168799	10175688	6.89	99086276	99097571	11.3	Rattus norvegicus
9	87954460	94334690	1	94994235	99114478	-	6.38	4.12	canFam3	92118749	92209664	90.92	97681571	97710356	28.78	Canis lupus familiaris
9	92209678	97072790	8	82395010	86976964	+	4.86	4.58	bosTau8	94303655	94557407	253.75	84999272	85268212	268.94	Bos taurus
9	92209999	93963216	17	16778872	18354751	+	1.75	1.58	rn5	93700583	93724411	23.83	16886251	17414155	527.9	Rattus norvegicus
9	92210226	97072790	2	27252548	31764013	-	4.86	4.51	oviAri3	94303000	94557424	254.42	28920998	29167127	246.13	Ovis aries
9	130693791	131308277	5	71102326	71384235	+	0.61	0.28	danRer10	130885686	131127520	241.83	71218460	71352890	134.43	Danio rerio
9	133331496	136726891	2	25776526	28470104	+	3.4	2.69	mm10	135504240	135607497	103.26	26639333	26891872	252.54	Mus Musculus
9	133331822	136726880	3	979053	3635753	-	3.4	2.66	oviAri3	135502495	135544787	42.29	2574346	2689416	115.07	Ovis aries
9	133331867	136726885	3	8597302	12406197	+	3.4	3.81	rn5	135504204	135606718	102.51	9453404	10804236	1350.83	Rattus norvegicus
9	137138166	137590814	1	469730400	471065231	-	0.45	1.33	monDom5	137438341	137438717	0.38	470631833	470679587	47.75	Monodelphis domestica
X	10283426	13578241	X	139707131	142505595	-	3.29	2.8	bosTau8	10622535	11336899	714.36	140102729	140441288	338.56	Bos taurus
X	37559017	38333908	X	14460659	15424846	+	0.77	0.96	rn5	37848466	37859547	11.08	15117856	15122232	4.38	Rattus norvegicus
X	75227703	87535170	X	51070755	58866135	+	12.31	7.8	monDom5	81364171	81403592	39.42	55403089	55441969	38.88	Monodelphis domestica
X	106839061	107407373	X	60034349	60703442	-	0.57	0.67	bosTau8	107018167	107021588	3.42	60229973	60269130	39.16	Bos taurus
X	112470473	114982796	X	66174169	68700801	+	2.51	2.53	bosTau8	112864933	112865177	0.24	68116883	68311174	194.29	Bos taurus
